Breed,Weight_kg,Age_years,Purpose,Weather,Dry_Fodder_kg,Concentrate_kg,Green_Fodder_kg
Gir,493,7,Meat,Moderate,5.99,2.33,10.06
Gir,311,2,Milk,Moderate,3.3,1.38,6.83
Red Sindhi,361,5,Meat,Moderate,4.26,2.02,6.56
Red Sindhi,538,2,Meat,Hot,6.27,2.21,10.48
Jersey,406,2,Meat,Cold,5.1,1.97,8.91
Jersey,360,6,Meat,Moderate,4.36,1.54,6.55
Gir,333,7,Milk,Cold,3.32,1.64,8.11
Holstein,316,3,Meat,Moderate,4.07,1.35,6.35
Holstein,619,10,Milk,Hot,6.19,2.22,12.42
Gir,508,7,Milk,Cold,5.54,2.64,10.54
Sahiwal,396,5,Meat,Cold,4.78,2.28,8.54
Red Sindhi,466,3,Meat,Moderate,5.59,2.42,9.63
Gir,260,3,Meat,Moderate,3.31,1.43,5.26
Sahiwal,467,10,Milk,Cold,5.1,2.27,10.73
Red Sindhi,616,8,Milk,Cold,5.92,2.71,14.09
Holstein,381,9,Meat,Cold,4.33,1.88,8.38
Gir,292,5,Milk,Cold,2.75,1.31,6.37
Red Sindhi,602,10,Meat,Moderate,7.64,3.09,11.91
Holstein,593,10,Meat,Moderate,7.26,2.73,12.64
Holstein,555,5,Milk,Hot,5.13,1.88,12.79
Jersey,385,6,Milk,Moderate,4.09,1.57,9.09
Jersey,636,4,Milk,Cold,5.87,3.25,12.82
Jersey,447,10,Milk,Moderate,4.86,1.6,11.08
Sahiwal,572,10,Milk,Cold,6.06,2.84,13.38
Sahiwal,413,2,Milk,Cold,3.8,2.12,9.02
Gir,460,6,Milk,Cold,4.27,1.89,9.78
Holstein,333,9,Meat,Cold,3.75,1.98,6.32
Red Sindhi,280,10,Meat,Hot,3.18,1.67,5.77
Sahiwal,497,10,Meat,Moderate,5.98,2.53,10.36
Holstein,613,5,Meat,Moderate,7.08,2.75,13.21
Red Sindhi,428,9,Meat,Moderate,5.06,2.24,9.32
Holstein,363,6,Milk,Cold,3.77,1.47,7.47
Sahiwal,474,8,Milk,Hot,4.59,1.89,10.41
Jersey,614,7,Milk,Hot,6.69,2.43,14.96
Sahiwal,471,10,Milk,Cold,5.06,2.1,9.95
Jersey,561,4,Milk,Cold,5.43,2.34,11.44
Sahiwal,636,4,Meat,Cold,7.33,3.09,12.69
Holstein,404,2,Milk,Hot,4.35,1.85,8.22
Gir,530,5,Milk,Moderate,5.03,1.74,11.4
Gir,575,2,Meat,Moderate,7.3,2.81,11.5
Jersey,481,8,Milk,Moderate,4.41,1.81,10.83
Gir,312,5,Milk,Hot,3.34,1.39,7.34
Gir,412,6,Milk,Moderate,4.19,1.53,10.18
Red Sindhi,568,5,Meat,Hot,7.14,3.13,10.6
Holstein,539,6,Meat,Moderate,6.2,2.7,11.3
Holstein,624,3,Meat,Cold,6.91,3.17,13.65
Gir,335,6,Milk,Moderate,3.44,1.46,7.13
Sahiwal,509,3,Meat,Hot,6.17,2.92,10.38
Jersey,451,4,Milk,Cold,4.21,2.04,10.41
Holstein,304,6,Meat,Hot,3.92,1.23,5.78
Holstein,554,6,Milk,Cold,5.63,2.62,12.51
Jersey,436,6,Milk,Cold,4.19,2.48,8.84
Jersey,601,8,Milk,Cold,5.67,3.53,12.8
Red Sindhi,508,4,Milk,Cold,5.45,2.83,10.66
Jersey,410,4,Milk,Moderate,4.1,1.71,9.78
Gir,309,5,Meat,Cold,3.9,1.84,5.66
Holstein,328,4,Meat,Moderate,4.25,1.67,6.26
Gir,649,8,Milk,Moderate,6.68,2.32,13.12
Holstein,250,7,Meat,Hot,2.86,1.33,5.04
Sahiwal,627,9,Milk,Moderate,6.03,1.92,15.14
Sahiwal,302,9,Milk,Cold,3.06,1.75,7.23
Sahiwal,534,3,Milk,Cold,4.93,3.13,12.41
Gir,555,6,Meat,Moderate,6.69,2.22,11.86
Gir,333,10,Meat,Hot,4.15,1.77,6.31
Jersey,400,4,Meat,Hot,4.74,2.18,7.51
Jersey,631,10,Milk,Cold,6.42,3.71,14.67
Red Sindhi,457,9,Meat,Moderate,5.48,2.28,9.48
Jersey,533,3,Meat,Moderate,5.97,3.06,11.41
Gir,542,7,Meat,Moderate,6.93,2.27,11.13
Gir,627,10,Milk,Moderate,5.94,2.11,13.26
Holstein,304,5,Meat,Hot,3.68,1.62,5.68
Sahiwal,549,8,Meat,Hot,7.0,2.86,11.8
Holstein,337,6,Milk,Cold,3.66,1.59,8.25
Red Sindhi,457,2,Milk,Moderate,4.95,1.95,11.01
Gir,519,3,Milk,Cold,4.97,2.43,12.32
Sahiwal,472,10,Meat,Hot,5.59,2.2,8.77
Sahiwal,578,8,Meat,Moderate,7.44,2.91,10.67
Gir,604,6,Meat,Cold,6.96,2.54,12.24
Sahiwal,534,8,Meat,Cold,5.98,2.83,11.72
Sahiwal,279,3,Milk,Hot,2.85,1.02,6.74
Jersey,422,3,Milk,Cold,3.95,2.05,10.35
Holstein,434,9,Meat,Cold,4.94,1.87,8.7
Sahiwal,321,4,Milk,Cold,3.36,1.44,7.91
Gir,605,8,Milk,Cold,5.66,3.0,14.94
Sahiwal,596,6,Meat,Hot,7.66,3.43,12.4
Sahiwal,399,9,Meat,Hot,5.14,2.21,8.5
Jersey,301,10,Meat,Cold,3.85,1.24,5.86
Sahiwal,479,6,Milk,Hot,4.51,1.97,10.4
Jersey,475,2,Milk,Hot,4.43,2.11,9.84
Sahiwal,310,8,Milk,Cold,2.91,1.35,6.43
Jersey,451,6,Milk,Moderate,4.81,1.89,10.73
Jersey,370,10,Milk,Moderate,3.85,1.37,8.79
Gir,638,8,Meat,Hot,7.99,2.65,11.96
Jersey,511,9,Meat,Cold,6.01,2.65,10.93
Jersey,580,5,Milk,Hot,5.27,2.29,11.9
Sahiwal,408,3,Meat,Hot,5.25,1.64,7.81
Jersey,465,2,Meat,Hot,5.64,2.34,10.12
Red Sindhi,308,4,Milk,Moderate,3.07,1.01,7.22
Red Sindhi,408,9,Meat,Cold,5.02,2.23,7.72
Jersey,534,7,Meat,Hot,6.43,2.6,9.72
Sahiwal,328,10,Meat,Moderate,4.04,1.67,5.99
Sahiwal,438,3,Milk,Moderate,4.58,1.61,8.92
Gir,627,9,Meat,Cold,7.68,3.46,11.73
Sahiwal,336,7,Meat,Hot,3.8,2.0,7.33
Sahiwal,632,7,Meat,Moderate,7.88,2.87,12.41
Red Sindhi,324,7,Meat,Hot,4.11,1.81,6.26
Jersey,608,6,Meat,Moderate,7.46,2.91,12.46
Sahiwal,439,2,Meat,Moderate,5.37,2.56,9.04
Red Sindhi,620,3,Meat,Cold,7.87,3.13,13.6
Gir,316,8,Milk,Moderate,3.27,1.47,7.56
Sahiwal,539,6,Meat,Cold,6.91,3.18,11.44
Jersey,502,7,Milk,Hot,5.28,2.28,11.27
Gir,334,7,Meat,Hot,4.26,1.44,6.74
Jersey,485,6,Milk,Moderate,5.15,2.07,11.84
Sahiwal,490,5,Meat,Moderate,6.21,2.69,9.39
Jersey,305,8,Meat,Cold,3.56,1.28,5.73
Jersey,558,2,Milk,Cold,5.36,2.55,12.79
Red Sindhi,471,2,Milk,Hot,4.73,2.11,10.19
Jersey,627,7,Milk,Cold,6.0,3.11,13.99
Gir,332,10,Milk,Hot,3.52,1.08,7.12
Gir,420,5,Milk,Hot,3.95,1.84,8.41
Red Sindhi,340,6,Milk,Moderate,3.07,1.43,7.66
Gir,355,9,Meat,Cold,4.13,1.43,7.13
Sahiwal,586,3,Meat,Moderate,7.49,2.48,11.32
Jersey,252,5,Milk,Moderate,2.5,1.05,5.14
Holstein,422,4,Meat,Moderate,5.3,2.36,8.49
Sahiwal,464,6,Milk,Moderate,4.6,1.52,10.65
Red Sindhi,442,6,Milk,Hot,4.24,1.45,10.76
Red Sindhi,376,8,Milk,Moderate,3.95,1.66,8.26
Sahiwal,534,10,Meat,Moderate,6.71,2.22,10.83
Sahiwal,263,7,Meat,Hot,2.94,1.07,5.34
Red Sindhi,336,10,Milk,Cold,3.18,1.75,7.1
Holstein,349,7,Meat,Hot,4.29,1.6,7.62
Gir,403,6,Meat,Hot,4.49,2.29,8.39
Gir,490,8,Milk,Hot,4.67,1.52,9.88
Gir,380,9,Milk,Cold,4.04,2.07,7.62
Gir,496,2,Milk,Hot,5.43,1.6,12.39
Gir,616,4,Meat,Moderate,7.21,2.64,12.4
Gir,379,3,Milk,Moderate,3.57,1.39,9.1
Jersey,261,5,Milk,Hot,2.66,1.21,6.02
Sahiwal,489,9,Milk,Cold,4.95,2.61,10.54
Red Sindhi,295,5,Meat,Hot,3.26,1.57,6.0
Sahiwal,473,7,Meat,Cold,5.68,2.66,10.23
Gir,583,2,Milk,Hot,5.86,1.92,11.81
Holstein,379,7,Milk,Moderate,3.82,1.41,7.76
Sahiwal,569,8,Milk,Moderate,5.8,2.11,12.93
Sahiwal,280,3,Milk,Hot,2.8,1.08,6.81
Gir,516,8,Meat,Moderate,5.9,2.66,9.9
Sahiwal,266,5,Meat,Hot,3.44,1.24,5.01
Gir,404,4,Meat,Moderate,5.13,1.71,7.94
Jersey,606,6,Meat,Cold,7.47,2.6,11.17
Red Sindhi,632,2,Meat,Cold,7.54,3.49,12.33
Red Sindhi,426,7,Meat,Moderate,4.97,2.03,9.07
Jersey,427,5,Meat,Cold,4.93,1.77,8.56
Holstein,463,4,Meat,Moderate,5.38,2.47,9.04
Jersey,387,8,Meat,Hot,4.57,2.04,8.27
Red Sindhi,445,8,Meat,Hot,5.66,2.19,8.99
Gir,600,10,Milk,Moderate,6.11,2.92,14.58
Red Sindhi,493,5,Meat,Moderate,5.86,2.23,10.47
Holstein,560,7,Meat,Cold,7.06,2.95,11.71
Sahiwal,359,5,Meat,Hot,4.25,1.69,6.93
Red Sindhi,589,6,Milk,Cold,6.15,3.18,11.78
Sahiwal,445,3,Milk,Hot,4.42,1.79,10.68
Gir,616,4,Milk,Hot,6.64,2.42,13.97
Red Sindhi,474,6,Milk,Moderate,4.94,2.28,10.73
Jersey,485,4,Meat,Moderate,6.09,2.65,9.51
Red Sindhi,292,7,Milk,Hot,2.69,1.22,7.04
Sahiwal,424,7,Meat,Hot,5.3,2.14,8.58
Red Sindhi,251,2,Milk,Moderate,2.3,1.06,5.18
Jersey,304,6,Milk,Cold,2.75,1.82,6.4
Holstein,410,4,Meat,Cold,5.16,2.3,8.65
Red Sindhi,298,2,Milk,Moderate,3.26,1.29,6.48
Sahiwal,571,6,Meat,Cold,6.88,3.19,11.51
Gir,336,3,Meat,Hot,3.77,1.83,6.46
Sahiwal,539,3,Meat,Moderate,6.72,2.4,11.31
Holstein,276,7,Meat,Cold,3.4,1.52,5.05
Sahiwal,536,5,Meat,Moderate,6.43,2.18,9.77
Red Sindhi,586,6,Meat,Cold,7.21,3.05,12.01
Gir,264,4,Meat,Moderate,3.12,1.57,5.0
Gir,487,9,Meat,Cold,5.54,2.8,10.47
Holstein,347,8,Milk,Cold,3.58,1.39,7.24
Red Sindhi,430,6,Milk,Cold,3.98,2.52,9.0
Gir,456,3,Milk,Hot,4.16,1.38,11.3
Red Sindhi,352,3,Milk,Hot,3.31,1.42,8.18
Jersey,307,4,Meat,Cold,3.44,1.27,6.67
Gir,538,8,Meat,Hot,6.87,3.23,11.03
Jersey,613,3,Meat,Cold,6.77,2.74,12.26
Jersey,303,5,Meat,Moderate,3.45,1.53,6.62
Holstein,332,6,Meat,Moderate,4.12,1.5,7.24
Gir,316,8,Meat,Cold,3.83,1.43,6.91
Sahiwal,605,2,Milk,Moderate,5.53,2.39,13.72
Holstein,302,3,Meat,Cold,3.74,1.46,6.49
Holstein,533,7,Meat,Cold,6.19,2.53,11.44
Holstein,257,7,Milk,Moderate,2.39,1.08,5.86
Sahiwal,315,3,Milk,Moderate,2.88,1.35,6.75
Gir,404,7,Meat,Moderate,5.22,2.14,8.87
Gir,299,7,Meat,Moderate,3.73,1.74,5.87
Gir,254,5,Milk,Cold,2.42,1.51,5.5
Holstein,332,5,Meat,Moderate,3.82,1.69,6.03
Jersey,352,9,Milk,Hot,3.32,1.71,8.75
Gir,365,10,Milk,Hot,3.58,1.57,7.79
Holstein,536,8,Milk,Moderate,5.82,2.64,10.96
Jersey,257,9,Milk,Hot,2.58,1.16,6.34
Gir,507,5,Milk,Moderate,5.23,2.08,12.32
Red Sindhi,536,5,Milk,Cold,5.3,2.81,12.18
Red Sindhi,522,6,Meat,Cold,5.82,3.06,10.69
Sahiwal,295,6,Meat,Moderate,3.67,1.55,5.82
Sahiwal,562,8,Milk,Hot,5.32,2.73,13.91
Jersey,360,8,Meat,Moderate,4.33,2.05,6.81
Holstein,645,7,Milk,Hot,6.58,2.62,13.82
Red Sindhi,527,3,Meat,Cold,6.85,2.7,9.64
Red Sindhi,481,3,Meat,Cold,6.12,2.36,8.92
Gir,429,4,Meat,Moderate,4.9,1.91,8.54
Jersey,295,5,Milk,Moderate,3.15,1.3,6.21
Holstein,507,4,Meat,Hot,6.09,2.75,9.57
Red Sindhi,360,9,Milk,Hot,3.65,1.66,8.21
Holstein,538,5,Milk,Moderate,5.02,1.7,11.37
Gir,642,6,Meat,Hot,7.41,3.84,12.35
Holstein,385,2,Meat,Hot,4.62,1.68,7.21
Jersey,281,10,Milk,Cold,2.98,1.36,6.91
Jersey,389,2,Milk,Cold,3.53,1.84,9.45
Red Sindhi,574,6,Milk,Cold,5.38,3.36,12.34
Jersey,581,8,Milk,Cold,5.45,2.81,13.85
Holstein,353,4,Milk,Hot,3.71,1.17,7.12
Gir,449,7,Meat,Moderate,5.4,2.29,8.31
Holstein,290,2,Milk,Hot,3.06,0.95,5.84
Sahiwal,643,4,Milk,Moderate,5.84,2.29,14.57
Holstein,475,9,Meat,Moderate,5.46,2.67,8.58
Holstein,582,6,Meat,Moderate,7.31,2.72,10.78
Red Sindhi,412,8,Milk,Cold,4.25,2.17,9.34
Gir,561,7,Meat,Cold,7.16,3.23,11.26
Sahiwal,273,7,Milk,Moderate,2.98,0.86,5.85
Jersey,496,6,Milk,Moderate,5.4,2.25,11.55
Sahiwal,634,7,Milk,Hot,6.22,2.98,15.06
Sahiwal,482,2,Milk,Hot,4.76,1.82,11.9
Jersey,452,4,Milk,Cold,4.52,2.69,9.05
Holstein,616,2,Meat,Moderate,6.86,3.54,12.16
Jersey,464,8,Milk,Hot,4.89,1.77,9.65
Holstein,514,9,Meat,Hot,5.87,2.43,9.77
Jersey,606,8,Meat,Hot,7.33,2.94,12.8
Holstein,491,3,Milk,Moderate,4.96,2.41,11.64
Jersey,291,6,Meat,Moderate,3.62,1.66,5.34
Holstein,553,6,Meat,Hot,6.56,2.57,10.45
Holstein,612,7,Meat,Hot,7.03,2.92,12.1
Holstein,476,8,Meat,Cold,5.33,2.83,8.61
Red Sindhi,531,7,Milk,Hot,5.54,1.94,12.79
Holstein,589,10,Milk,Hot,5.4,2.3,13.69
Jersey,360,8,Meat,Cold,4.42,1.98,7.06
Red Sindhi,290,9,Meat,Moderate,3.62,1.4,6.09
Sahiwal,575,8,Meat,Hot,6.73,3.26,10.46
Holstein,448,6,Milk,Moderate,4.82,1.96,9.51
Red Sindhi,417,9,Meat,Moderate,5.29,2.46,8.39
Sahiwal,260,10,Meat,Moderate,2.97,1.46,4.77
Red Sindhi,298,7,Meat,Cold,3.66,1.7,5.76
Jersey,598,3,Milk,Moderate,6.56,2.48,12.72
Holstein,575,3,Milk,Cold,6.05,2.35,13.29
Holstein,631,4,Meat,Hot,7.81,2.77,11.37
Holstein,546,2,Milk,Moderate,5.5,1.66,11.89
Holstein,280,6,Milk,Moderate,3.04,0.84,6.77
Jersey,611,5,Meat,Hot,7.48,3.16,11.99
Holstein,595,6,Milk,Hot,6.35,2.76,13.38
Holstein,599,9,Milk,Cold,6.07,2.46,12.26
Sahiwal,492,9,Milk,Hot,5.39,2.24,10.17
Red Sindhi,392,7,Milk,Moderate,3.99,1.67,9.56
Holstein,604,10,Milk,Cold,6.03,3.47,13.51
Gir,621,9,Meat,Hot,7.37,3.56,13.02
Sahiwal,395,6,Milk,Hot,3.85,1.84,9.19
Holstein,566,6,Milk,Cold,5.65,2.35,11.51
Jersey,604,5,Milk,Hot,6.41,1.85,14.15
Sahiwal,574,6,Milk,Cold,6.12,2.41,11.51
Gir,354,5,Meat,Cold,4.57,1.93,6.88
Red Sindhi,635,2,Milk,Moderate,6.35,2.21,14.04
Gir,312,7,Meat,Cold,4.05,1.8,6.75
Red Sindhi,610,10,Meat,Moderate,7.67,2.47,12.15
Gir,485,2,Milk,Hot,4.47,2.37,11.04
Jersey,344,9,Milk,Cold,3.12,1.9,7.18
Red Sindhi,483,4,Milk,Hot,4.37,1.5,11.97
Holstein,489,10,Milk,Moderate,5.37,1.68,10.39
Red Sindhi,565,3,Milk,Cold,5.89,3.39,13.83
Gir,583,7,Milk,Hot,6.18,1.98,11.92
Holstein,432,7,Milk,Cold,3.95,2.59,9.7
Holstein,350,8,Milk,Moderate,3.78,1.6,8.1
Holstein,580,5,Milk,Cold,5.23,2.49,13.44
Sahiwal,276,7,Milk,Cold,2.65,1.48,6.4
Jersey,572,6,Milk,Hot,5.69,2.18,12.65
Gir,302,8,Meat,Moderate,3.6,1.33,6.06
Red Sindhi,420,8,Meat,Cold,5.28,2.01,8.54
Sahiwal,306,2,Meat,Hot,3.93,1.54,5.86
Red Sindhi,499,2,Meat,Moderate,5.6,2.44,9.55
Gir,523,9,Meat,Moderate,5.84,2.3,11.13
Jersey,336,4,Meat,Moderate,3.93,1.72,6.15
Gir,380,3,Meat,Hot,4.28,1.96,6.88
Holstein,540,5,Milk,Cold,5.25,3.14,12.45
Gir,299,6,Meat,Cold,3.64,1.63,6.37
Holstein,296,4,Meat,Moderate,3.46,1.76,5.91
Red Sindhi,649,2,Milk,Cold,6.84,3.51,13.85
Sahiwal,291,7,Milk,Hot,2.87,1.33,6.18
Holstein,584,3,Milk,Moderate,5.71,2.13,14.11
Sahiwal,513,2,Milk,Hot,5.23,1.57,11.17
Holstein,570,4,Milk,Cold,5.6,3.42,13.34
Holstein,348,6,Milk,Hot,3.54,1.59,8.57
Holstein,538,9,Meat,Cold,6.6,2.89,10.23
Gir,283,6,Milk,Moderate,2.67,1.0,6.13
Gir,544,5,Meat,Hot,6.38,2.58,11.55
Jersey,525,3,Milk,Moderate,5.24,1.63,11.7
Gir,465,7,Milk,Cold,4.63,2.31,10.07
Red Sindhi,625,4,Meat,Hot,7.2,3.44,12.96
Holstein,583,3,Milk,Cold,5.84,2.68,11.88
Sahiwal,615,10,Meat,Cold,7.15,2.88,11.56
Holstein,513,4,Meat,Hot,6.27,2.27,9.78
Sahiwal,361,10,Milk,Hot,3.53,1.21,8.04
Jersey,266,9,Milk,Hot,2.47,1.08,6.51
Jersey,575,10,Meat,Moderate,6.83,3.34,11.57
Jersey,497,4,Meat,Cold,6.05,2.14,10.06
Gir,638,6,Meat,Hot,7.79,3.65,13.16
Sahiwal,522,9,Meat,Hot,6.61,2.91,11.15
Gir,438,9,Meat,Hot,5.06,2.56,9.45
Jersey,650,4,Meat,Cold,7.71,2.62,12.98
Sahiwal,528,4,Milk,Hot,5.46,2.64,11.46
Gir,529,7,Milk,Moderate,5.51,2.59,11.28
Sahiwal,493,7,Meat,Hot,5.76,2.34,10.26
Red Sindhi,251,7,Milk,Moderate,2.6,1.03,5.12
Gir,596,3,Meat,Cold,7.13,3.53,12.31
Jersey,636,10,Meat,Hot,7.29,3.75,11.82
Jersey,350,6,Milk,Hot,3.47,1.35,7.94
Jersey,353,4,Milk,Hot,3.53,1.66,8.17
Red Sindhi,640,3,Milk,Cold,6.3,3.63,13.75
Jersey,524,5,Milk,Hot,5.24,1.94,11.91
Jersey,515,9,Meat,Cold,5.98,2.29,9.98
Gir,494,6,Meat,Moderate,5.5,2.23,9.43
Red Sindhi,306,9,Milk,Cold,3.35,1.61,6.4
Gir,330,5,Milk,Cold,3.47,1.95,8.22
Jersey,306,3,Milk,Moderate,3.2,1.05,7.29
Red Sindhi,335,7,Milk,Moderate,3.61,1.48,6.83
Red Sindhi,452,3,Milk,Cold,4.66,1.84,10.88
Jersey,410,5,Meat,Hot,4.56,2.27,8.74
Jersey,393,10,Meat,Hot,4.76,1.76,8.06
Red Sindhi,353,8,Meat,Cold,4.08,1.42,6.67
Red Sindhi,379,10,Milk,Hot,3.86,1.34,7.81
Red Sindhi,566,9,Milk,Moderate,5.2,2.49,14.08
Red Sindhi,271,5,Meat,Moderate,3.01,1.13,5.51
Red Sindhi,383,10,Milk,Hot,3.99,1.17,8.6
Sahiwal,446,10,Milk,Moderate,4.02,2.1,9.7
Holstein,645,4,Milk,Moderate,6.68,2.39,14.4
Sahiwal,620,5,Meat,Moderate,7.04,3.28,12.36
Sahiwal,356,6,Milk,Cold,3.63,2.13,7.94
Jersey,481,5,Meat,Moderate,5.9,2.23,9.78
Holstein,333,10,Meat,Cold,4.05,1.66,6.09
Red Sindhi,503,6,Meat,Hot,6.33,2.18,9.35
Holstein,557,6,Meat,Moderate,6.33,3.12,11.45
Jersey,623,8,Meat,Cold,7.21,3.52,13.7
Gir,440,7,Milk,Cold,4.52,2.21,9.25
Gir,493,10,Meat,Hot,6.19,2.58,10.74
Sahiwal,498,8,Milk,Cold,5.47,2.64,11.89
Red Sindhi,430,10,Milk,Moderate,4.4,1.81,10.44
Gir,261,5,Milk,Moderate,2.4,1.27,6.02
Red Sindhi,441,4,Meat,Hot,5.12,1.98,8.74
Holstein,442,2,Milk,Hot,4.49,1.66,9.67
Holstein,367,9,Meat,Cold,4.74,1.8,6.69
Sahiwal,473,6,Meat,Cold,5.45,2.5,9.21
Red Sindhi,641,6,Meat,Cold,7.26,2.68,13.35
Jersey,382,8,Meat,Moderate,4.76,1.66,6.99
Red Sindhi,387,2,Milk,Moderate,3.49,1.3,9.66
Jersey,455,10,Milk,Cold,4.91,2.53,9.66
Holstein,568,6,Meat,Cold,6.86,2.93,10.78
Gir,573,6,Meat,Cold,6.5,2.45,10.46
Gir,521,10,Milk,Cold,5.02,2.47,12.73
Gir,413,4,Milk,Cold,3.75,2.29,10.19
Sahiwal,485,3,Milk,Cold,4.4,2.5,12.08
Gir,488,6,Meat,Moderate,6.08,2.65,10.25
Sahiwal,633,2,Meat,Hot,7.17,2.55,13.5
Sahiwal,318,8,Meat,Hot,3.95,1.48,6.49
Red Sindhi,356,3,Milk,Moderate,3.26,1.52,7.25
Gir,552,7,Meat,Hot,6.81,2.41,10.36
Gir,327,7,Meat,Moderate,4.24,1.65,6.76
Gir,596,9,Meat,Hot,6.62,2.73,12.69
Red Sindhi,625,6,Meat,Hot,7.93,3.54,12.41
Sahiwal,363,5,Meat,Hot,4.07,1.84,7.65
Holstein,562,9,Meat,Cold,7.05,3.1,10.63
Gir,565,4,Milk,Cold,5.93,3.23,13.4
Holstein,448,3,Milk,Cold,4.05,1.85,10.25
Jersey,297,8,Meat,Hot,3.38,1.4,6.03
Jersey,515,2,Milk,Moderate,5.27,1.99,11.08
Holstein,600,3,Milk,Cold,6.0,2.41,14.83
Holstein,444,7,Milk,Cold,4.35,1.88,8.91
Holstein,508,5,Meat,Hot,5.83,2.05,10.27
Sahiwal,418,2,Meat,Moderate,5.35,2.38,8.38
Gir,283,10,Milk,Cold,3.0,1.41,6.19
Gir,286,4,Milk,Moderate,2.76,1.23,6.5
Red Sindhi,565,3,Meat,Moderate,7.09,2.46,11.76
Holstein,342,3,Milk,Hot,3.35,1.09,8.32
Sahiwal,498,8,Meat,Cold,6.27,2.39,10.1
Gir,455,2,Meat,Hot,5.62,1.9,9.87
Holstein,257,9,Milk,Hot,2.43,0.82,5.4
Sahiwal,518,8,Milk,Hot,5.13,1.7,11.68
Red Sindhi,252,5,Milk,Cold,2.38,1.5,5.31
Gir,580,7,Milk,Hot,5.22,1.79,13.54
Jersey,327,2,Milk,Hot,3.54,1.44,7.83
Red Sindhi,278,5,Milk,Hot,2.84,0.84,5.82
Gir,511,6,Milk,Cold,5.19,2.52,10.59
Sahiwal,386,4,Meat,Hot,4.89,1.95,7.92
Holstein,371,6,Meat,Hot,4.7,1.74,7.12
Red Sindhi,456,5,Milk,Hot,4.96,2.1,9.55
Holstein,332,7,Milk,Cold,3.37,1.56,7.98
Jersey,618,2,Milk,Cold,6.01,2.52,14.28
Gir,515,9,Meat,Cold,5.95,3.0,10.76
Red Sindhi,402,4,Meat,Moderate,5.03,1.77,8.19
Holstein,275,6,Milk,Cold,2.77,1.25,6.0
Sahiwal,590,8,Milk,Cold,6.02,3.08,12.42
Red Sindhi,543,5,Meat,Cold,7.03,2.28,9.84
Gir,346,6,Meat,Moderate,4.06,1.53,6.25
Red Sindhi,331,4,Meat,Moderate,3.99,1.73,6.34
Sahiwal,292,5,Meat,Cold,3.28,1.73,6.24
Sahiwal,464,6,Milk,Hot,4.97,1.73,9.56
Sahiwal,567,5,Milk,Cold,5.94,2.75,11.64
Sahiwal,370,9,Meat,Moderate,4.46,1.68,7.0
Jersey,307,3,Milk,Moderate,3.02,1.17,6.63
Gir,579,5,Meat,Moderate,6.7,3.25,10.43
Jersey,561,9,Meat,Moderate,6.62,3.05,10.55
Sahiwal,357,3,Meat,Hot,4.49,2.09,6.85
Red Sindhi,537,2,Meat,Moderate,6.8,2.7,10.58
Sahiwal,513,5,Milk,Moderate,5.05,2.34,11.01
Red Sindhi,280,5,Meat,Cold,3.12,1.17,6.03
Holstein,293,8,Milk,Hot,3.16,1.36,6.82
Jersey,499,2,Milk,Hot,4.62,2.17,12.02
Red Sindhi,468,2,Milk,Cold,5.11,2.2,9.82
Sahiwal,619,5,Milk,Moderate,5.75,2.17,12.61
Gir,468,4,Meat,Cold,5.96,2.18,9.92
Gir,436,5,Meat,Hot,5.28,1.93,9.18
Holstein,323,3,Meat,Cold,3.95,1.38,6.14
Holstein,547,5,Meat,Moderate,6.33,2.96,11.8
Jersey,612,9,Meat,Cold,7.77,3.17,12.96
Gir,322,9,Milk,Hot,3.07,1.61,7.38
Red Sindhi,614,5,Meat,Hot,7.5,2.85,12.72
Sahiwal,424,6,Meat,Hot,5.37,2.41,7.7
Holstein,371,2,Meat,Moderate,4.38,1.51,7.64
Jersey,411,2,Milk,Hot,4.48,1.28,9.59
Jersey,333,2,Milk,Cold,3.58,1.91,6.8
Sahiwal,344,4,Meat,Moderate,4.01,2.0,6.96
Gir,319,6,Meat,Cold,3.91,1.55,6.2
Holstein,608,8,Milk,Hot,6.48,2.01,13.14
Holstein,584,7,Meat,Cold,6.59,2.85,10.99
Gir,266,9,Meat,Hot,3.02,1.39,5.81
Red Sindhi,473,10,Milk,Cold,4.36,2.16,10.88
Holstein,264,3,Meat,Moderate,3.4,1.19,5.42
Red Sindhi,616,3,Meat,Moderate,7.34,3.32,12.72
Sahiwal,415,2,Meat,Moderate,4.8,2.24,8.89
Holstein,351,7,Milk,Hot,3.19,1.13,7.74
Holstein,560,2,Meat,Cold,6.44,2.33,12.22
Holstein,497,5,Meat,Cold,5.6,2.36,10.91
Holstein,304,5,Milk,Moderate,2.88,1.15,6.14
Sahiwal,477,3,Meat,Hot,5.47,1.99,10.33
Holstein,650,10,Milk,Cold,6.54,3.22,14.08
Red Sindhi,467,7,Milk,Cold,4.81,2.02,10.78
Jersey,328,8,Meat,Hot,4.03,1.56,6.33
Sahiwal,616,9,Meat,Hot,7.42,2.5,13.0
Jersey,615,6,Meat,Cold,6.78,2.77,12.64
Holstein,280,5,Meat,Moderate,3.5,1.36,5.63
Gir,271,6,Milk,Hot,2.65,1.14,6.68
Sahiwal,324,8,Meat,Cold,3.6,1.89,6.87
Sahiwal,257,6,Meat,Moderate,3.31,1.46,5.56
Gir,498,7,Meat,Hot,5.68,2.24,10.68
Jersey,590,4,Meat,Moderate,7.61,2.5,12.82
